,path,label,pca_Features
1395,s3://p8marionflore/Test/Hazelnut/232_100.jpg,Hazelnut,"[3.5764572118867366,5.97234914638175]"
1396,s3://p8marionflore/Test/Banana Lady Finger/40_100.jpg,Banana Lady Finger,"[-2.4653718641605553,1.819073535276573]"
1397,s3://p8marionflore/Test/Banana Lady Finger/46_100.jpg,Banana Lady Finger,"[-2.6510566185645272,0.4017915004482886]"
1398,s3://p8marionflore/Test/Corn Husk/308_100.jpg,Corn Husk,"[-3.5527735498603756,5.346552819848864]"
1399,s3://p8marionflore/Test/Banana Red/r_103_100.jpg,Banana Red,"[-0.36436344428369943,7.347636745995088]"
1400,s3://p8marionflore/Test/Hazelnut/r_168_100.jpg,Hazelnut,"[0.9718968932724495,6.322747980175165]"
1401,s3://p8marionflore/Test/Banana Red/r_146_100.jpg,Banana Red,"[-1.492300181622961,5.076613754612423]"
1402,s3://p8marionflore/Test/Banana/r_66_100.jpg,Banana,"[-2.936985763714707,1.2660998122429814]"
1403,s3://p8marionflore/Test/Banana/r_54_100.jpg,Banana,"[-3.0833164208429635,1.1393172442136723]"
1404,s3://p8marionflore/Test/Banana Lady Finger/r_141_100.jpg,Banana Lady Finger,"[-1.985993453067546,0.8224470775113587]"
1405,s3://p8marionflore/Test/Banana/r_44_100.jpg,Banana,"[-2.79950823106261,1.0379479156831783]"
1406,s3://p8marionflore/Test/Banana Lady Finger/r_146_100.jpg,Banana Lady Finger,"[-2.311235477621219,0.8567112207450209]"
1407,s3://p8marionflore/Test/Watermelon/r_100_100.jpg,Watermelon,"[-1.736861575495545,3.600754559934305]"
1408,s3://p8marionflore/Test/Pineapple Mini/0_100.jpg,Pineapple Mini,"[-6.584048444902452,3.9093546378631325]"
1409,s3://p8marionflore/Test/Pineapple Mini/271_100.jpg,Pineapple Mini,"[-3.479187256434915,1.4617066763289452]"
1410,s3://p8marionflore/Test/Watermelon/287_100.jpg,Watermelon,"[-2.618683137734504,2.7425889620721917]"
1411,s3://p8marionflore/Test/Watermelon/130_100.jpg,Watermelon,"[-2.4733382716686445,4.582979254500593]"
1412,s3://p8marionflore/Test/Raspberry/209_100.jpg,Raspberry,"[-1.6329500469603793,3.9432957056088034]"
1413,s3://p8marionflore/Test/Raspberry/109_100.jpg,Raspberry,"[-0.2605482918814222,6.0371245009955805]"
1414,s3://p8marionflore/Test/Raspberry/240_100.jpg,Raspberry,"[-1.4682927554980645,3.8823400475533574]"
1415,s3://p8marionflore/Test/Cauliflower/r2_202_100.jpg,Cauliflower,"[-3.807097707825943,2.0611887958670123]"
1416,s3://p8marionflore/Test/Pineapple/321_100.jpg,Pineapple,"[-5.90234631384498,5.210092753478011]"
1417,s3://p8marionflore/Test/Pineapple/16_100.jpg,Pineapple,"[-5.95703206071822,5.0896450572301415]"
1418,s3://p8marionflore/Test/Cauliflower/185_100.jpg,Cauliflower,"[-4.357490388658719,1.2942465528353126]"
1419,s3://p8marionflore/Test/Cauliflower/r2_56_100.jpg,Cauliflower,"[-5.857327983215468,5.627922500020137]"
1420,s3://p8marionflore/Test/Cauliflower/52_100.jpg,Cauliflower,"[-4.66403123392226,2.8450384429342477]"
1421,s3://p8marionflore/Test/Apple Golden 1/123_100.jpg,Apple Golden 1,"[-2.9419289269906232,0.11971688744607761]"
1422,s3://p8marionflore/Test/Onion White/r_188_100.jpg,Onion White,"[-0.5635107810419956,4.966334197250731]"
1423,s3://p8marionflore/Test/Onion White/r2_190_100.jpg,Onion White,"[-0.19292108471904912,3.771332425107832]"
1424,s3://p8marionflore/Test/Rambutan/62_100.jpg,Rambutan,"[-5.13271995708749,9.220339852223313]"
1425,s3://p8marionflore/Test/Raspberry/r_100_100.jpg,Raspberry,"[-1.0010387444770124,4.224423390633212]"
1426,s3://p8marionflore/Test/Onion White/r_167_100.jpg,Onion White,"[-2.233536513208202,3.721683017217077]"
1427,s3://p8marionflore/Test/Lychee/72_100.jpg,Lychee,"[-4.360763340285744,1.6528450356465456]"
1428,s3://p8marionflore/Test/Raspberry/r_26_100.jpg,Raspberry,"[0.9122430573014934,5.196878102101167]"
1429,s3://p8marionflore/Test/Pear Forelle/r_5_100.jpg,Pear Forelle,"[1.2542066097591273,-1.5274533788162699]"
1430,s3://p8marionflore/Test/Raspberry/r_316_100.jpg,Raspberry,"[0.9260985211341228,5.247858222363944]"
1431,s3://p8marionflore/Test/Pineapple/r_277_100.jpg,Pineapple,"[-5.5424501675631666,5.374142063049232]"
1432,s3://p8marionflore/Test/Pear Red/r2_126_100.jpg,Pear Red,"[4.469289038457821,-1.7041649739044404]"
1433,s3://p8marionflore/Test/Pear Red/r2_143_100.jpg,Pear Red,"[4.1801910302401115,-1.9106822402518877]"
1434,s3://p8marionflore/Test/Nectarine/r_36_100.jpg,Nectarine,"[7.823491950093215,2.7686691178997096]"
1435,s3://p8marionflore/Test/Lychee/r_48_100.jpg,Lychee,"[-1.444667985295404,3.9964657165391713]"
1436,s3://p8marionflore/Test/Pear Forelle/r_180_100.jpg,Pear Forelle,"[-0.0736593764686285,-0.4112263537154888]"
1437,s3://p8marionflore/Test/Cantaloupe 2/r_246_100.jpg,Cantaloupe 2,"[-3.348043882598127,2.0078503508523764]"
1438,s3://p8marionflore/Test/Mandarine/r_249_100.jpg,Mandarine,"[1.2815550906000417,-4.130892873088192]"
1439,s3://p8marionflore/Test/Rambutan/152_100.jpg,Rambutan,"[-3.2918206295693886,7.636711553901112]"
1440,s3://p8marionflore/Test/Cantaloupe 1/r_121_100.jpg,Cantaloupe 1,"[0.6787642724880334,-3.858202374098672]"
1441,s3://p8marionflore/Test/Cantaloupe 2/207_100.jpg,Cantaloupe 2,"[-2.518515856836672,-1.4030871626300012]"
1442,s3://p8marionflore/Test/Lychee/r_318_100.jpg,Lychee,"[-3.171994889258145,3.9703800686464628]"
1443,s3://p8marionflore/Test/Cantaloupe 2/177_100.jpg,Cantaloupe 2,"[-2.3872241344633256,0.6638607238525649]"
1444,s3://p8marionflore/Test/Pear Red/r_293_100.jpg,Pear Red,"[6.134644737091345,-1.8498145085695397]"
1445,s3://p8marionflore/Test/Apple Crimson Snow/r_33_100.jpg,Apple Crimson Snow,"[2.8523310891816065,-2.44140245278205]"
1446,s3://p8marionflore/Test/Pear Forelle/r2_183_100.jpg,Pear Forelle,"[-0.34597556142536284,-3.9925961225008715]"
1447,s3://p8marionflore/Test/Pineapple/r_199_100.jpg,Pineapple,"[-4.6971555504944815,6.622891479586642]"
1448,s3://p8marionflore/Test/Cantaloupe 2/187_100.jpg,Cantaloupe 2,"[-3.319907236454938,-0.056209461634604045]"
1449,s3://p8marionflore/Test/Apple Crimson Snow/r_43_100.jpg,Apple Crimson Snow,"[2.399128902344845,-2.594479642533769]"
1450,s3://p8marionflore/Test/Cantaloupe 2/r_209_100.jpg,Cantaloupe 2,"[-4.443033508742381,3.876600056050215]"
1451,s3://p8marionflore/Test/Pear Red/r_162_100.jpg,Pear Red,"[9.964869239147315,1.9522984960091]"
1452,s3://p8marionflore/Test/Pear Forelle/r2_170_100.jpg,Pear Forelle,"[-1.502779403053346,-3.43174139917321]"
1453,s3://p8marionflore/Test/Limes/r_182_100.jpg,Limes,"[-2.487267547795374,-3.3141826263204828]"
1454,s3://p8marionflore/Test/Pineapple/r_127_100.jpg,Pineapple,"[-3.641138456398775,3.728183911757253]"
1455,s3://p8marionflore/Test/Pear 2/r_276_100.jpg,Pear 2,"[5.813014800418207,-3.498775156568312]"
1456,s3://p8marionflore/Test/Pear Forelle/r2_199_100.jpg,Pear Forelle,"[-0.5892230365171582,-3.3218340708637117]"
1457,s3://p8marionflore/Test/Pear Forelle/r2_13_100.jpg,Pear Forelle,"[1.1088464484713485,0.3604495688346569]"
1458,s3://p8marionflore/Test/Limes/r_216_100.jpg,Limes,"[-1.8492414090730347,-3.2415590553369027]"
1459,s3://p8marionflore/Test/Apple Red 3/58_100.jpg,Apple Red 3,"[4.127681988914356,1.2095862497259413]"
1460,s3://p8marionflore/Test/Cocos/r_128_100.jpg,Cocos,"[-4.769215863615484,10.088780821864097]"
1461,s3://p8marionflore/Test/Pear 2/r2_119_100.jpg,Pear 2,"[0.6188889933895982,-3.731562085248615]"
1462,s3://p8marionflore/Test/Strawberry Wedge/99_100.jpg,Strawberry Wedge,"[-0.23966717456727726,4.888372260995373]"
1463,s3://p8marionflore/Test/Mandarine/r_63_100.jpg,Mandarine,"[2.013643297144111,-2.392945848611054]"
1464,s3://p8marionflore/Test/Lychee/r_25_100.jpg,Lychee,"[-2.576773687217522,4.355516206003596]"
1465,s3://p8marionflore/Test/Orange/r_323_100.jpg,Orange,"[2.0845666076181026,-2.570113660434046]"
1466,s3://p8marionflore/Test/Limes/r_76_100.jpg,Limes,"[-0.734324707086069,-4.459231393143738]"
1467,s3://p8marionflore/Test/Orange/45_100.jpg,Orange,"[4.504918837913368,-3.930609089638193]"
1468,s3://p8marionflore/Test/Ginger Root/41_100.jpg,Ginger Root,"[-7.953591781423286,5.5377196086753075]"
1469,s3://p8marionflore/Test/Pear 2/r_277_100.jpg,Pear 2,"[6.215183025812736,-3.734083977204653]"
1470,s3://p8marionflore/Test/Pear Stone/r_78_100.jpg,Pear Stone,"[-3.2656722909310925,5.761493776065653]"
1471,s3://p8marionflore/Test/Cantaloupe 1/131_100.jpg,Cantaloupe 1,"[-0.14137324723780548,-3.582283850399423]"
1472,s3://p8marionflore/Test/Nectarine/r_63_100.jpg,Nectarine,"[10.956143329801566,3.4570219663252564]"
1473,s3://p8marionflore/Test/Walnut/184_100.jpg,Walnut,"[-4.008682559131357,6.5581671632455905]"
1474,s3://p8marionflore/Test/Walnut/178_100.jpg,Walnut,"[-4.703912380782327,5.764797128594138]"
1475,s3://p8marionflore/Test/Strawberry Wedge/270_100.jpg,Strawberry Wedge,"[-1.0712031275031155,3.2285742741784054]"
1476,s3://p8marionflore/Test/Apple Red 3/r_91_100.jpg,Apple Red 3,"[1.2182196962491312,2.501115037917632]"
1477,s3://p8marionflore/Test/Apple Golden 1/r_83_100.jpg,Apple Golden 1,"[-3.305643971210391,-0.2786338282094242]"
1478,s3://p8marionflore/Test/Apple Red 1/r_4_100.jpg,Apple Red 1,"[2.251422098996629,2.785261765315675]"
1479,s3://p8marionflore/Test/Onion White/112_100.jpg,Onion White,"[0.928738798825052,-0.9653894989735069]"
1480,s3://p8marionflore/Test/Pepper Yellow/r_201_100.jpg,Pepper Yellow,"[1.9419718139958522,2.942607892139631]"
1481,s3://p8marionflore/Test/Onion Red Peeled/r2_188_100.jpg,Onion Red Peeled,"[1.488736070077981,3.16906781936425]"
1482,s3://p8marionflore/Test/Pepper Yellow/r_188_100.jpg,Pepper Yellow,"[3.078227759821188,2.0326104569300276]"
1483,s3://p8marionflore/Test/Onion Red Peeled/r_194_100.jpg,Onion Red Peeled,"[4.771930092253882,2.6676908800511634]"
1484,s3://p8marionflore/Test/Pear Stone/r2_192_100.jpg,Pear Stone,"[-4.180895172705966,3.994326936690573]"
1485,s3://p8marionflore/Test/Potato White/r2_67_100.jpg,Potato White,"[-1.4321916720891763,0.12397960884865214]"
1486,s3://p8marionflore/Test/Apple Red 3/r_35_100.jpg,Apple Red 3,"[0.7477749808788271,-0.2610709641969956]"
1487,s3://p8marionflore/Test/Mandarine/216_100.jpg,Mandarine,"[1.7850948152254869,-4.774442653020202]"
1488,s3://p8marionflore/Test/Apple Red 3/r_59_100.jpg,Apple Red 3,"[3.725370074290151,4.6359365177450895]"
1489,s3://p8marionflore/Test/Apple Braeburn/r_49_100.jpg,Apple Braeburn,"[11.337408152147002,-0.3342284311313992]"
1490,s3://p8marionflore/Test/Pepper Orange/r_62_100.jpg,Pepper Orange,"[3.1157184639907323,2.9409768246931236]"
1491,s3://p8marionflore/Test/Apple Red Yellow 1/r_4_100.jpg,Apple Red Yellow 1,"[2.264398681391887,-2.3710273883614192]"
1492,s3://p8marionflore/Test/Apple Red 2/r_57_100.jpg,Apple Red 2,"[9.30923290227673,0.45155816417537475]"
1493,s3://p8marionflore/Test/Apple Red 3/r_43_100.jpg,Apple Red 3,"[2.3220782933366606,2.933022589866762]"
1494,s3://p8marionflore/Test/Pear Stone/r_55_100.jpg,Pear Stone,"[-1.4249112322181015,3.656642907806754]"
1495,s3://p8marionflore/Test/Apple Braeburn/r_50_100.jpg,Apple Braeburn,"[10.664789508362945,-0.9927284871993105]"
1496,s3://p8marionflore/Test/Pear Stone/r_39_100.jpg,Pear Stone,"[-1.5257633775782136,2.557171506227897]"
1497,s3://p8marionflore/Test/Nectarine/r_92_100.jpg,Nectarine,"[12.682031496982972,3.98060897256936]"
1498,s3://p8marionflore/Test/Apple Red 3/r_65_100.jpg,Apple Red 3,"[4.917142890263732,2.9285014740336006]"
1499,s3://p8marionflore/Test/Plum 2/r_233_100.jpg,Plum 2,"[12.725364010001968,5.786645918407834]"
1500,s3://p8marionflore/Test/Pepper Yellow/r2_144_100.jpg,Pepper Yellow,"[2.2957391169362436,0.7018195759004318]"
1501,s3://p8marionflore/Test/Guava/30_100.jpg,Guava,"[-0.6856470908985751,-0.16106849594940814]"
1502,s3://p8marionflore/Test/Apple Golden 1/r_67_100.jpg,Apple Golden 1,"[-3.303569646045784,0.3620109550236661]"
1503,s3://p8marionflore/Test/Pear Red/200_100.jpg,Pear Red,"[1.2397486268480187,-1.6326842047693932]"
1504,s3://p8marionflore/Test/Peach/r_52_100.jpg,Peach,"[6.952917437135872,0.8119558674025974]"
1505,s3://p8marionflore/Test/Clementine/r_322_100.jpg,Clementine,"[5.975891132372378,-2.757974794381718]"
1506,s3://p8marionflore/Test/Cucumber Ripe/170_100.jpg,Cucumber Ripe,"[0.3477246817700466,7.182233708809081]"
1507,s3://p8marionflore/Test/Pepper Yellow/153_100.jpg,Pepper Yellow,"[5.474892520008793,-0.9840351954817266]"
1508,s3://p8marionflore/Test/Pepper Yellow/r2_70_100.jpg,Pepper Yellow,"[6.67840042419337,2.52358306782066]"
1509,s3://p8marionflore/Test/Pepper Orange/r2_262_100.jpg,Pepper Orange,"[3.9314328249694115,0.8014651004298331]"
1510,s3://p8marionflore/Test/Apple Red 2/r_53_100.jpg,Apple Red 2,"[9.375678291906242,1.816667817072493]"
1511,s3://p8marionflore/Test/Clementine/r_183_100.jpg,Clementine,"[5.869918334620606,-3.034154477797181]"
1512,s3://p8marionflore/Test/Clementine/r_29_100.jpg,Clementine,"[6.611965366543922,-2.8310347144931627]"
1513,s3://p8marionflore/Test/Apple Red Yellow 1/r_47_100.jpg,Apple Red Yellow 1,"[1.0302010629503842,-3.9935249006000384]"
1514,s3://p8marionflore/Test/Tomato Heart/r_110_100.jpg,Tomato Heart,"[4.667123223759608,5.812513186361955]"
1515,s3://p8marionflore/Test/Strawberry/56_100.jpg,Strawberry,"[-0.5272299748412635,4.077342603979535]"
1516,s3://p8marionflore/Test/Strawberry/r_322_100.jpg,Strawberry,"[-1.5164678638727094,5.69237049002687]"
1517,s3://p8marionflore/Test/Rambutan/r_196_100.jpg,Rambutan,"[-2.5672463140165918,7.797942357988672]"
1518,s3://p8marionflore/Test/Guava/103_100.jpg,Guava,"[-1.329962419283363,-1.3171992730219177]"
1519,s3://p8marionflore/Test/Nectarine Flat/r2_83_100.jpg,Nectarine Flat,"[7.310906539083593,-0.16582064132164168]"
1520,s3://p8marionflore/Test/Tomato Heart/r_105_100.jpg,Tomato Heart,"[3.749385339927751,5.482872466573904]"
1521,s3://p8marionflore/Test/Nectarine Flat/r2_168_100.jpg,Nectarine Flat,"[7.903445804687315,0.377106467219366]"
1522,s3://p8marionflore/Test/Tomato not Ripened/r_306_100.jpg,Tomato not Ripened,"[0.44163237620397805,5.825941748037808]"
1523,s3://p8marionflore/Test/Apple Red 1/r_99_100.jpg,Apple Red 1,"[4.239042484686715,4.303033150682142]"
1524,s3://p8marionflore/Test/Rambutan/r_190_100.jpg,Rambutan,"[-2.638791520074834,8.712819649491736]"
1525,s3://p8marionflore/Test/Tomato Heart/r_134_100.jpg,Tomato Heart,"[5.420040231486277,5.601821800264169]"
1526,s3://p8marionflore/Test/Strawberry/r_57_100.jpg,Strawberry,"[-3.4395066261417235,4.215667887686629]"
1527,s3://p8marionflore/Test/Rambutan/r_158_100.jpg,Rambutan,"[-2.3750403895458065,8.338251206723445]"
1528,s3://p8marionflore/Test/Tomato not Ripened/r_239_100.jpg,Tomato not Ripened,"[0.8496256230216578,2.6497564063087333]"
1529,s3://p8marionflore/Test/Pomelo Sweetie/r_179_100.jpg,Pomelo Sweetie,"[1.4516266470480492,-5.0845863123830926]"
1530,s3://p8marionflore/Test/Apple Braeburn/r_91_100.jpg,Apple Braeburn,"[12.221631891963709,3.968320927561666]"
1531,s3://p8marionflore/Test/Tomato Heart/r_96_100.jpg,Tomato Heart,"[5.341664458398483,5.633168693861226]"
1532,s3://p8marionflore/Test/Plum 2/r_65_100.jpg,Plum 2,"[11.065482401254233,8.385106731491893]"
1533,s3://p8marionflore/Test/Nectarine Flat/r2_72_100.jpg,Nectarine Flat,"[7.357098515063878,0.20017665130492762]"
1534,s3://p8marionflore/Test/Tomato Heart/r_113_100.jpg,Tomato Heart,"[3.863449239268475,5.978811579684228]"
1535,s3://p8marionflore/Test/Pepper Orange/122_100.jpg,Pepper Orange,"[4.409090573503827,3.792533331194973]"
1536,s3://p8marionflore/Test/Peach/37_100.jpg,Peach,"[1.411276104140623,2.6669679055981255]"
1537,s3://p8marionflore/Test/Potato Sweet/r2_81_100.jpg,Potato Sweet,"[-1.2325341982727551,4.688429812819014]"
1538,s3://p8marionflore/Test/Pomelo Sweetie/r_105_100.jpg,Pomelo Sweetie,"[4.15992722586404,-2.287311096812704]"
1539,s3://p8marionflore/Test/Ginger Root/r_75_100.jpg,Ginger Root,"[-4.469165414615713,5.8886960967349715]"
1540,s3://p8marionflore/Test/Apple Red 1/47_100.jpg,Apple Red 1,"[3.7821132623871,-0.14206596333114915]"
1541,s3://p8marionflore/Test/Strawberry/79_100.jpg,Strawberry,"[1.2975183572049052,4.929520786083982]"
1542,s3://p8marionflore/Test/Apple Braeburn/r_71_100.jpg,Apple Braeburn,"[10.253248002035901,0.26167008340544173]"
1543,s3://p8marionflore/Test/Apple Red Yellow 1/72_100.jpg,Apple Red Yellow 1,"[1.9685779800099563,-1.497441760603354]"
1544,s3://p8marionflore/Test/Melon Piel de Sapo/r2_133_100.jpg,Melon Piel de Sapo,"[-3.026606165119549,7.426091547791382]"
1545,s3://p8marionflore/Test/Apple Braeburn/r_72_100.jpg,Apple Braeburn,"[9.770096519333476,0.3663247129172874]"
1546,s3://p8marionflore/Test/Strawberry/r_97_100.jpg,Strawberry,"[-3.7088465761687655,5.381915162312663]"
1547,s3://p8marionflore/Test/Potato Sweet/r_167_100.jpg,Potato Sweet,"[-2.102971162360843,1.8943273187184433]"
1548,s3://p8marionflore/Test/Kiwi/60_100.jpg,Kiwi,"[-3.799996175785511,5.079446748423233]"
1549,s3://p8marionflore/Test/Clementine/r_198_100.jpg,Clementine,"[5.754018309512387,-4.0271883397716035]"
1550,s3://p8marionflore/Test/Apple Red 2/r_40_100.jpg,Apple Red 2,"[10.227175808322084,1.3936018708291564]"
1551,s3://p8marionflore/Test/Potato Sweet/r_165_100.jpg,Potato Sweet,"[-1.1058689903802914,1.389803632148061]"
1552,s3://p8marionflore/Test/Plum/r_65_100.jpg,Plum,"[5.301494833203817,9.243115413214214]"
1553,s3://p8marionflore/Test/Guava/r_284_100.jpg,Guava,"[-0.614642751082672,-1.2305651961339406]"
1554,s3://p8marionflore/Test/Potato White/101_100.jpg,Potato White,"[-5.033101219859041,-0.4207926892804054]"
1555,s3://p8marionflore/Test/Mangostan/154_100.jpg,Mangostan,"[4.576643213496687,6.431371479014632]"
1556,s3://p8marionflore/Test/Walnut/r_297_100.jpg,Walnut,"[-1.065780578951566,9.496214386049303]"
1557,s3://p8marionflore/Test/Apple Red 2/r_37_100.jpg,Apple Red 2,"[10.03284168880873,0.8004853835405166]"
1558,s3://p8marionflore/Test/Strawberry/r_88_100.jpg,Strawberry,"[-4.027082036937732,3.3820261966551715]"
1559,s3://p8marionflore/Test/Tomato Heart/199_100.jpg,Tomato Heart,"[8.389753670491082,7.478833154556459]"
1560,s3://p8marionflore/Test/Tomato not Ripened/158_100.jpg,Tomato not Ripened,"[3.333087376524965,2.6218709509701323]"
1561,s3://p8marionflore/Test/Grapefruit White/321_100.jpg,Grapefruit White,"[3.5064090639450662,-7.51280933398483]"
1562,s3://p8marionflore/Test/Apple Red Yellow 1/r_86_100.jpg,Apple Red Yellow 1,"[1.626399699362853,0.3256425603885652]"
1563,s3://p8marionflore/Test/Guava/r_264_100.jpg,Guava,"[-1.3021965853520878,1.0602096335764923]"
1564,s3://p8marionflore/Test/Guava/r_146_100.jpg,Guava,"[-0.6772493819272971,0.4111681667850148]"
1565,s3://p8marionflore/Test/Onion Red/159_100.jpg,Onion Red,"[2.033682385229409,2.7761981529566677]"
1566,s3://p8marionflore/Test/Mangostan/r_118_100.jpg,Mangostan,"[2.4472153323269357,7.6815375787042015]"
1567,s3://p8marionflore/Test/Huckleberry/r_61_100.jpg,Huckleberry,"[2.328844054129778,8.155054090566685]"
1568,s3://p8marionflore/Test/Tomato Heart/255_100.jpg,Tomato Heart,"[6.996161913894435,8.488266504703121]"
1569,s3://p8marionflore/Test/Apple Red 1/52_100.jpg,Apple Red 1,"[4.697600830230909,0.4593698591936549]"
1570,s3://p8marionflore/Test/Physalis with Husk/40_100.jpg,Physalis with Husk,"[-4.42722638926015,2.2300409213526455]"
1571,s3://p8marionflore/Test/Plum/r_82_100.jpg,Plum,"[5.082681920365519,10.321671430279057]"
1572,s3://p8marionflore/Test/Pepper Red/r_260_100.jpg,Pepper Red,"[6.564379623252023,3.4682490951585967]"
1573,s3://p8marionflore/Test/Guava/r_155_100.jpg,Guava,"[-1.9932994056745885,-0.2703273298319627]"
1574,s3://p8marionflore/Test/Pitahaya Red/2_100.jpg,Pitahaya Red,"[0.4717845704842733,8.213871912080371]"
1575,s3://p8marionflore/Test/Plum/r_57_100.jpg,Plum,"[5.0170524125604175,8.538516564751067]"
1576,s3://p8marionflore/Test/Potato Red Washed/r2_147_100.jpg,Potato Red Washed,"[3.9951641477304487,-0.7320310479363483]"
1577,s3://p8marionflore/Test/Blueberry/r_209_100.jpg,Blueberry,"[1.8225996878791846,12.72599318350078]"
1578,s3://p8marionflore/Test/Pepper Red/154_100.jpg,Pepper Red,"[6.297753423591699,6.757943349974383]"
1579,s3://p8marionflore/Test/Tangelo/r_300_100.jpg,Tangelo,"[8.890527342602226,-2.4999946847026795]"
1580,s3://p8marionflore/Test/Pepper Red/152_100.jpg,Pepper Red,"[6.4595345707768494,6.434895388235892]"
1581,s3://p8marionflore/Test/Avocado/r_67_100.jpg,Avocado,"[0.8496457245957167,5.823448086172794]"
1582,s3://p8marionflore/Test/Pepper Red/r_243_100.jpg,Pepper Red,"[6.2808933841742425,3.317202728546083]"
1583,s3://p8marionflore/Test/Onion Red Peeled/r_95_100.jpg,Onion Red Peeled,"[3.693640014597517,1.2190712748620915]"
1584,s3://p8marionflore/Test/Grapefruit White/57_100.jpg,Grapefruit White,"[3.4527656325086262,-7.15773480821794]"
1585,s3://p8marionflore/Test/Grapefruit White/85_100.jpg,Grapefruit White,"[3.087172285527257,-7.0408724136780565]"
1586,s3://p8marionflore/Test/Huckleberry/r_47_100.jpg,Huckleberry,"[3.6249025881023647,9.110671001751381]"
1587,s3://p8marionflore/Test/Pear Stone/284_100.jpg,Pear Stone,"[-4.41287343664289,3.0122465976286663]"
1588,s3://p8marionflore/Test/Blueberry/r_205_100.jpg,Blueberry,"[3.3755644777205167,13.028576911525084]"
1589,s3://p8marionflore/Test/Blueberry/r_199_100.jpg,Blueberry,"[3.741904934344055,12.969140382202825]"
1590,s3://p8marionflore/Test/Plum/r_38_100.jpg,Plum,"[6.683425916281656,5.454924625444086]"
1591,s3://p8marionflore/Test/Strawberry Wedge/r_99_100.jpg,Strawberry Wedge,"[-1.2761483457773386,2.9590545787001035]"
1592,s3://p8marionflore/Test/Pepper Red/r2_223_100.jpg,Pepper Red,"[7.111087222312328,7.4939117190136795]"
1593,s3://p8marionflore/Test/Apple Red 2/72_100.jpg,Apple Red 2,"[7.080118466438114,-1.7927614986579048]"
1594,s3://p8marionflore/Test/Potato Sweet/r2_58_100.jpg,Potato Sweet,"[0.8026973028582354,3.4416755209213163]"
1595,s3://p8marionflore/Test/Fig/r_264_100.jpg,Fig,"[-0.18246120741521046,4.429641168661492]"
1596,s3://p8marionflore/Test/Nut Forest/r2_99_100.jpg,Nut Forest,"[0.6333450617810954,5.455808615985111]"
1597,s3://p8marionflore/Test/Tangelo/243_100.jpg,Tangelo,"[10.45236159781516,-3.6342080533314713]"
1598,s3://p8marionflore/Test/Melon Piel de Sapo/r_0_100.jpg,Melon Piel de Sapo,"[-4.974960058055781,4.465018499810161]"
1599,s3://p8marionflore/Test/Avocado/r_69_100.jpg,Avocado,"[0.9342400816338452,6.539789102245023]"
1600,s3://p8marionflore/Test/Apricot/r_48_100.jpg,Apricot,"[5.595680157052078,-2.164946748861541]"
1601,s3://p8marionflore/Test/Mango Red/r_261_100.jpg,Mango Red,"[5.879934011284468,3.478376071291622]"
1602,s3://p8marionflore/Test/Apple Red 2/37_100.jpg,Apple Red 2,"[6.15974427936855,-2.258331131267187]"
1603,s3://p8marionflore/Test/Lemon Meyer/r_199_100.jpg,Lemon Meyer,"[4.492266372244131,-7.130034218735508]"
1604,s3://p8marionflore/Test/Pear/67_100.jpg,Pear,"[-1.7207406696211236,-3.2219518056923966]"
1605,s3://p8marionflore/Test/Peach Flat/r_76_100.jpg,Peach Flat,"[3.9784235691138075,0.39443398013710457]"
1606,s3://p8marionflore/Test/Grapefruit White/r_74_100.jpg,Grapefruit White,"[5.236408998767731,-7.295651447419791]"
1607,s3://p8marionflore/Test/Physalis with Husk/188_100.jpg,Physalis with Husk,"[-6.111749278909804,3.1153813146930527]"
1608,s3://p8marionflore/Test/Grapefruit White/r_78_100.jpg,Grapefruit White,"[4.581379486738728,-7.780391889551892]"
1609,s3://p8marionflore/Test/Onion Red Peeled/68_100.jpg,Onion Red Peeled,"[6.529129667876042,2.6449780546101014]"
1610,s3://p8marionflore/Test/Lemon Meyer/r_21_100.jpg,Lemon Meyer,"[4.595002843535513,-7.301206036646671]"
1611,s3://p8marionflore/Test/Lemon Meyer/50_100.jpg,Lemon Meyer,"[3.2450812100184496,-6.922558658134597]"
1612,s3://p8marionflore/Test/Lemon Meyer/r_181_100.jpg,Lemon Meyer,"[4.10209784872609,-6.857337708567573]"
1613,s3://p8marionflore/Test/Melon Piel de Sapo/r_156_100.jpg,Melon Piel de Sapo,"[-0.9841772867983525,9.27483848840603]"
1614,s3://p8marionflore/Test/Corn/r_63_100.jpg,Corn,"[-4.7116902929113635,1.9087307177555046]"
1615,s3://p8marionflore/Test/Strawberry Wedge/r2_197_100.jpg,Strawberry Wedge,"[-3.147993570312698,5.956979201930837]"
1616,s3://p8marionflore/Test/Apple Red 2/321_100.jpg,Apple Red 2,"[5.5271700329254125,-2.9606385345843904]"
1617,s3://p8marionflore/Test/Corn Husk/r_138_100.jpg,Corn Husk,"[-5.971460080334975,4.854041831113409]"
1618,s3://p8marionflore/Test/Pepper Red/r_23_100.jpg,Pepper Red,"[9.779755928108518,8.523288199392809]"
1619,s3://p8marionflore/Test/Corn/r_164_100.jpg,Corn,"[-4.906617288022971,3.963689756192507]"
1620,s3://p8marionflore/Test/Corn/r_142_100.jpg,Corn,"[-6.960243763434438,5.122238311611455]"
1621,s3://p8marionflore/Test/Onion Red/r_68_100.jpg,Onion Red,"[1.8911573608758807,3.342279182969182]"
